Awda,El-Sabir,18,SICO_X,Jordan,rn994@sussex.ac.uk
Faisal,Abdallah,18,SICO_X,UAE,al777@sussex.ac.uk
Nesrin,Yildirim,18,SICO_X,Turkey,ak221@sussex.ac.uk
Nilam,Prakash,18,SICO_X,Pakistan,kp482@sussex.ac.uk
Aran,Tran,18,SICO_X,Hong Kong,at371@sussex.ac.uk
Lin,Meifen,18,SICO_X,China,cc438@sussex.ac.uk
Leila,Hamadi,20,SICO_X,Jordan,vl766@sussex.ac.uk
Buğra,gökdemir,20,SICO_X,Turkey,al392@sussex.ac.uk
Cam,Wang,20,SICO_X,Thailand,cw992@sussex.ac.uk
Enver,közen,20,SICO_X,Turkey,ay799@sussex.ac.uk
Jiang,Xiaodan,18,SICO_X,China,as954@sussex.ac.uk
Shimomura,Akemi,20,SICO_X,Japan,tw251@sussex.ac.uk
Omar,Khalifa,18,SICO_X,UAE,ap427@sussex.ac.uk
Çağla,Menderes,18,SICO_X,Turkey,kp340@sussex.ac.uk
Aisha,Hakim,18,SICO_X,Morocco,al364@sussex.ac.uk
Fatima,Al-Farsi,19,SICO_X,Egypt,gl334@sussex.ac.uk
Samir,Jamal,18,SICO_X,Egypt,sc236@sussex.ac.uk
Janya,Mann,20,SICO_X,Pakistan,ah625@sussex.ac.uk
Fatima,Zayn,20,SICO_X,Jordan,rw941@sussex.ac.uk
Mei,Zhang,18,SICO_X,Myanmar,mz922@sussex.ac.uk
